 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,23.961,5.708,0,16,136.758,2654.000
2,H2BRFP:background,35.710,6.065,0,18,216.576,4203.000
3,H2BRFP:background,52.560,5.999,0,19,315.306,6119.000
4,H2BRFP:Cntl,4662.808,45.770,0,1373,213416.765,4141682.000
5,H2BRFP:Expt,4714.750,57.583,0,1448,271489.803,5268679.000
6,BREGFP:background,23.961,6.067,0,19,145.363,2821.000
7,BREGFP:background,35.710,6.053,0,19,216.164,4195.000
8,BREGFP:background,52.560,5.791,0,17,304.382,5907.000
9,BREGFP:Cntl,4662.808,15.814,0,307,73739.556,1431030.000
10,BREGFP:Expt,4714.750,13.870,0,249,65391.806,1269029.000
