 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,258.469,32.987,29,41,8526.194,41366
2,Sox9:background,235.591,31.163,26,38,7341.646,35619
3,Sox9:background,217.040,30.184,26,35,6551.191,31784
4,Sox9:Cntl,16844.624,209.421,51,817,3527626.284,17114762
5,Sox9:Expt,13280.260,133.904,49,780,1778284.959,8627593
6,Msx1:background,258.469,108.307,51,275,27994.057,135817
7,Msx1:background,235.591,60.130,42,104,14166.147,68729
8,Msx1:background,217.040,49.915,40,109,10833.663,52561
9,Msx1:Cntl,16844.624,194.940,69,854,3283684.701,15931246
10,Msx1:Expt,13280.260,167.225,70,593,2220786.124,10774448
