,Image,Somites,Dose,Construct,Cntl Area,Expt Area,Expt/Cntl Area,Norm Cntl Area,Norm Expt Area
0,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP_Emb2_8ss_5x,8ss,3ugul,SMPD3FLAG,41205.886,35006.741,0.8495568084617815,0.6510515062861237,0.5531052398246747
1,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP_Emb5_8ss_5x,8ss,3ugul,SMPD3FLAG,66286.08099999999,75121.037,1.133285236760339,1.047317678859132,1.18690966364916
2,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP_Emb6_8ss_5x,8ss,3ugul,SMPD3FLAG,48659.041,45405.706,0.9331401742997771,0.7688110853262141,0.7174085101649043
3,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb3_8ss_5x,8ss,3ugul,SMPD3FLAG,60969.113,37486.729,0.6148478656725742,0.9633097770444466,0.5922889603973014
4,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb4_8ss_5x,8ss,3ugul,SMPD3FLAG,61872.725,35495.649,0.5736881477258355,0.9775868139148156,0.5608299685159917
5,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb5_8ss_5x,8ss,3ugul,SMPD3FLAG,89426.31199999999,34116.32,0.3815020348820826,1.4129324904993636,0.5390366202765161
6,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb6_8ss_5x,8ss,3ugul,SMPD3FLAG,89761.869,56081.69,0.6247830022345011,1.4182342789451905,0.8860886706712591
7,20210824_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb7_8ss_5x,8ss,3ugul,SMPD3FLAG,61320.334,42961.17,0.7006023483172807,0.9688590561229095,0.6787849299081745
8,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;BREH2Bd2EGFP_Emb3_8ss_5x,8ss,3ugul,SMPD3FLAG,70544.438,51947.828,0.7363844616637247,1.1145995652176504,0.820773800803421
9,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb1_8ss_5x,8ss,3ugul,SMPD3FLAG,50280.762,41441.683,0.8242055480384326,0.7944342183860358,0.6547770903453465
10,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb3_8ss_5x,8ss,3ugul,SMPD3FLAG,79212.852,61444.829000000005,0.7756926742140279,1.251560192439978,0.9708260726135898
11,20210830_SMPD3FLAG_3ugul_BF;Pax7;H2BRFP;TCFLefH2Bd2EGFP_Emb4_8ss_5x,8ss,3ugul,SMPD3FLAG,39955.998999999996,48370.477999999996,1.2105936332614284,0.6313033369581436,0.7642518003782228
