Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,0,0.000,NaN,0.000,NaN,NaN
3,0,0.000,NaN,0.000,NaN,NaN
4,1,0.705,0.705,0.137,255,179.844
5,0,0.000,NaN,0.000,NaN,NaN
6,0,0.000,NaN,0.000,NaN,NaN
7,0,0.000,NaN,0.000,NaN,NaN
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,0,0.000,NaN,0.000,NaN,NaN
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,1,0.427,0.427,0.104,255,108.944
14,0,0.000,NaN,0.000,NaN,NaN
15,0,0.000,NaN,0.000,NaN,NaN
16,0,0.000,NaN,0.000,NaN,NaN
17,1,0.339,0.339,0.066,255,86.464
18,0,0.000,NaN,0.000,NaN,NaN
19,0,0.000,NaN,0.000,NaN,NaN
20,0,0.000,NaN,0.000,NaN,NaN
21,0,0.000,NaN,0.000,NaN,NaN
22,0,0.000,NaN,0.000,NaN,NaN
23,0,0.000,NaN,0.000,NaN,NaN
24,1,0.617,0.617,0.201,255,157.364
25,0,0.000,NaN,0.000,NaN,NaN
26,0,0.000,NaN,0.000,NaN,NaN
27,0,0.000,NaN,0.000,NaN,NaN
28,0,0.000,NaN,0.000,NaN,NaN
29,0,0.000,NaN,0.000,NaN,NaN
30,0,0.000,NaN,0.000,NaN,NaN
31,0,0.000,NaN,0.000,NaN,NaN
32,1,0.685,0.685,0.179,255,174.656
