Image,Construct,Cntl Area,Expt Area,Expt/Cntl Area,Norm Cntl Area,Norm Expt Area
"20190702_NC11m3Dyn1K44A_0,5ugul_Pax7RFPGFPDAPI_Emb3_7ss_5x",NC11m3Dyn1K44A,48683.775,31752.582000000002,0.6522210325719401,0.68314262890003,0.4455599908150872
"20190702_NC11m3Dyn1K44A_1,0ugul_Pax7RFPGFPDAPI_Emb1_8ss_5x",NC11m3Dyn1K44A,47720.801,32872.204,0.6888443469337406,0.6696299423854287,0.46127080034976903
"20190702_NC11m3Dyn1K44A_1,0ugul_Pax7RFPGFPDAPI_Emb2_8ss_5x",NC11m3Dyn1K44A,65854.062,33540.02,0.509308294452664,0.9240802924264925,0.47064175767305594
"20190702_NC11m3Dyn1K44A_1,5ugul_Pax7RFPGFPDAPI_Emb1_7ss_5x",NC11m3Dyn1K44A,39235.417,28382.173,0.723381454057185,0.5505609603069797,0.39826558801398304
"20190702_NC11m3Dyn1K44A_1,5ugul_Pax7RFPGFPDAPI_Emb2_8ss_5x",NC11m3Dyn1K44A,45072.622,31290.882,0.6942325653919135,0.6324700474541534,0.4390813035776422
"20190702_NC11m3Dyn1K44A_1,5ugul_Pax7RFPGFPDAPI_Emb3_8ss_5x",NC11m3Dyn1K44A,79409.075,52549.685999999994,0.6617592006958902,1.1142875476279241,0.7373900368636387
"20200120_NC11m3Dyn1K44A_1,0ugul_Pax7,mRFP,Laminin,DAPI,BF_Emb2_8ss_5x",NC11m3Dyn1K44A,85683.246,69123.062,0.8067278636946131,1.2023282484796622,0.9699516993556839
"20200120_NC11m3Dyn1K44A_1,0ugul_Pax7,mRFP,Laminin,DAPI,BF_Emb3_8ss_5x",NC11m3Dyn1K44A,86525.023,61165.335,0.7069092024396225,1.214140269070251,0.8582869292582798
"20200120_NC11m3Dyn1K44A_1,0ugul_Pax7,mRFP,Laminin,DAPI,BF_Emb4_7ss_5x",NC11m3Dyn1K44A,45285.334,34036.347,0.7515975701978923,0.6354548742240286,0.47760633943718717
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb10_7ss_5x",NC11m3Dyn1K44A,58953.297999999995,36796.653,0.6241661492797231,0.8272470854621867,0.5163396278358071
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb1_8ss_5x",NC11m3Dyn1K44A,84336.896,49996.320999999996,0.5928167074111905,1.1834359362376565,0.701560595152487
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb2_8ss_5x",NC11m3Dyn1K44A,116333.519,74778.885,0.6427974124981124,1.6324203700072883,1.0493155899498963
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb3_8ss_5x",NC11m3Dyn1K44A,92389.436,71926.239,0.7785115064453906,1.29643114552294,1.0092865641037874
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb6_7ss_5x",NC11m3Dyn1K44A,75523.37599999999,49106.725,0.6502188805754658,1.0597624696122152,0.6890775666671457
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb7_7ss_5x",NC11m3Dyn1K44A,75097.128,64770.71599999999,0.8624925842703332,1.0537812535030828,0.9088785165895049
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb8_8ss_5x",NC11m3Dyn1K44A,93204.83099999999,47151.096,0.5058868246861582,1.3078729674418839,0.6616357025920377
"20200619_NC11m3Dyn1K44A_1,5ugul_Pax7;Dyn1K44AmRFP;TCFLefH2Bd2eGFP;BF_Emb9_8ss_5x",NC11m3Dyn1K44A,72187.594,41951.202000000005,0.5811414354660442,1.0129539613377974,0.5886695191528635
