,Target,EmbID,Somites,SectionID,Cntl CTCF,Expt CTCF,CTCF Ratio
0,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec1,6200141.540875,4800233.60377,0.7742135517591043
1,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec2,4850855.141862666,2745245.5368276667,0.5659302239591363
2,TCF/Lef,20200807_Emb1,8ss,20200807_Emb1_sec3,3318873.535890001,3056243.1583240004,0.9208676152538086
3,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec1,7930794.484951,4885535.225916001,0.6160209087735787
4,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec2,6335537.787593334,4176907.4654899994,0.6592822275749809
5,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec3,5995340.16556,3955832.2680133325,0.6598178183011963
6,TCF/Lef,20200817_Emb1,8ss,20200817_Emb1_sec4,5632654.2997,1482871.199182,0.26326330718733776
7,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec1,3315034.3458266673,2289946.357732,0.6907760580564838
8,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec2,4365753.622452667,3551629.2205383335,0.8135203054685983
9,TCF/Lef,20200821_Emb1,8ss,20200821_Emb1_sec3,7448856.120991999,3101271.408939999,0.4163419669498178
10,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec1,1278742.8796886664,762092.5069613334,0.5959700883315018
11,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec2,566385.0238586668,522917.29033866664,0.9232540909647236
12,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec3,406879.82087600004,395918.64529300004,0.9730604099279219
13,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec4,394303.694536,249091.756487,0.6317256468522839
14,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,575931.4430130001,600347.3673019999,1.0423938032646165
15,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,727478.353248,489771.74327466666,0.6732457963703858
16,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,814858.2568453334,534029.7842773333,0.6553652488529627
17,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,840853.4992933334,376507.73810666666,0.44776853330941685
18,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,919463.7495220001,773132.290766,0.8408513018244894
19,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec6,1184392.609864,669587.7337839999,0.5653427150823632
20,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec7,2113366.059464333,731701.7660826667,0.34622575810086037
21,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec8,1079472.66317,208729.46339,0.1933624356702476
22,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec1,607879.6131666667,403127.69055833336,0.6631702755390892
23,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec2,506011.4553326667,527543.2712466667,1.0425520325421178
24,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec3,717893.2548533335,521698.5918,0.7267077497567291
25,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec4,616923.589645,287154.04073500005,0.4654612751965585
26,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec1,753192.6041946667,575494.789724,0.7640738723654014
27,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec2,1074602.1114826666,721710.247744,0.6716069511051219
28,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec3,796549.247306,641520.620631,0.8053747119850775
29,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec4,625519.993145,357765.42597833334,0.571948826414891
30,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec1,1080580.2392499999,670973.40055,0.6209380628834223
31,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec2,1517906.5399360002,602511.79768,0.39693603119030224
32,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec3,1720360.685578,625430.955131,0.36354641231578144
33,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec4,980913.9399473333,394517.92862666666,0.40219423188934283
34,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec5,217557.04942799997,213214.41911433332,0.9800391192789005
35,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec1,175623.19699666667,265503.94723000005,1.5117817678437964
36,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec2,254027.07535366667,186637.364303,0.7347144553121198
37,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec3,313577.121928,190459.720072,0.6073776010857425
38,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec4,251600.46825,212245.035375,0.8435796517044042
39,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec1,1021469.9161200001,1002467.4242,0.9813969147596827
40,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec2,1541749.3174666667,1496324.3065,0.970536707587906
41,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec3,1032722.6864893333,1039414.521967,1.0064797990450032
42,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec4,1495427.651857,1494048.54317,0.9990777830774444
43,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec5,459977.057537,656936.367312,1.4281937686841193
44,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec6,285648.70475933334,510169.872218,1.7860045003453866
