,CTCF,EmbID,Norm CTCF,ROI,SectionID,Somites,Target,Treatment
0,6200141.540875,20200807_Emb1,3.3079699709029993,Cntl,20200807_Emb1_sec1,8ss,TCF/Lef,m3Dyn1KA
1,4850855.141862666,20200807_Emb1,2.5880833585320917,Cntl,20200807_Emb1_sec2,8ss,TCF/Lef,m3Dyn1KA
2,3318873.535890001,20200807_Emb1,1.7707231232658922,Cntl,20200807_Emb1_sec3,8ss,TCF/Lef,m3Dyn1KA
3,7930794.484951,20200817_Emb1,4.231327596098494,Cntl,20200817_Emb1_sec1,8ss,TCF/Lef,m3Dyn1KA
4,6335537.787593334,20200817_Emb1,3.380208115042853,Cntl,20200817_Emb1_sec2,8ss,TCF/Lef,m3Dyn1KA
5,5995340.16556,20200817_Emb1,3.1987020138611597,Cntl,20200817_Emb1_sec3,8ss,TCF/Lef,m3Dyn1KA
6,5632654.2997,20200817_Emb1,3.005197729285341,Cntl,20200817_Emb1_sec4,8ss,TCF/Lef,m3Dyn1KA
7,3315034.3458266673,20200821_Emb1,1.7686747949562283,Cntl,20200821_Emb1_sec1,8ss,TCF/Lef,m3Dyn1KA
8,4365753.622452667,20200821_Emb1,2.3292664833900396,Cntl,20200821_Emb1_sec2,8ss,TCF/Lef,m3Dyn1KA
9,7448856.120991999,20200821_Emb1,3.9741983635975364,Cntl,20200821_Emb1_sec3,8ss,TCF/Lef,m3Dyn1KA
10,1278742.8796886664,20210909_Emb1,0.682249432312019,Cntl,20210909_Emb1_sec1,7ss,TCF/Lef,m3Dyn1KA
11,566385.0238586668,20210909_Emb1,0.3021841741098764,Cntl,20210909_Emb1_sec2,7ss,TCF/Lef,m3Dyn1KA
12,406879.82087600004,20210909_Emb1,0.21708314565900244,Cntl,20210909_Emb1_sec3,7ss,TCF/Lef,m3Dyn1KA
13,394303.694536,20210909_Emb1,0.21037338782383996,Cntl,20210909_Emb1_sec4,7ss,TCF/Lef,m3Dyn1KA
14,575931.4430130001,20210909_Emb2,0.3072774881389189,Cntl,20210909_Emb2_sec1,6ss,TCF/Lef,m3Dyn1KA
15,727478.353248,20210909_Emb2,0.38813251780809066,Cntl,20210909_Emb2_sec2,6ss,TCF/Lef,m3Dyn1KA
16,814858.2568453334,20210909_Emb2,0.43475243692683796,Cntl,20210909_Emb2_sec3,6ss,TCF/Lef,m3Dyn1KA
17,840853.4992933334,20210909_Emb2,0.44862171407759655,Cntl,20210909_Emb2_sec4,6ss,TCF/Lef,m3Dyn1KA
18,919463.7495220001,20210909_Emb3,0.4905627480761368,Cntl,20210909_Emb3_sec5,8ss,TCF/Lef,m3Dyn1KA
19,1184392.609864,20210909_Emb3,0.6319106041951136,Cntl,20210909_Emb3_sec6,8ss,TCF/Lef,m3Dyn1KA
20,2113366.059464333,20210909_Emb3,1.1275470755216037,Cntl,20210909_Emb3_sec7,8ss,TCF/Lef,m3Dyn1KA
21,1079472.66317,20210909_Emb3,0.575932521965153,Cntl,20210909_Emb3_sec8,8ss,TCF/Lef,m3Dyn1KA
22,607879.6131666667,20210909_Emb4,0.3243228389259776,Cntl,20210909_Emb4_sec1,8ss,TCF/Lef,m3Dyn1KA
23,506011.4553326667,20210909_Emb4,0.26997298176795487,Cntl,20210909_Emb4_sec2,8ss,TCF/Lef,m3Dyn1KA
24,717893.2548533335,20210909_Emb4,0.3830185671912096,Cntl,20210909_Emb4_sec3,8ss,TCF/Lef,m3Dyn1KA
25,616923.589645,20210909_Emb4,0.32914808402895585,Cntl,20210909_Emb4_sec4,8ss,TCF/Lef,m3Dyn1KA
26,753192.6041946667,20210909_Emb5,0.40185187717997894,Cntl,20210909_Emb5_sec1,8ss,TCF/Lef,m3Dyn1KA
27,1074602.1114826666,20210909_Emb5,0.5733339298818574,Cntl,20210909_Emb5_sec2,8ss,TCF/Lef,m3Dyn1KA
28,796549.247306,20210909_Emb5,0.4249840061008952,Cntl,20210909_Emb5_sec3,8ss,TCF/Lef,m3Dyn1KA
29,625519.993145,20210909_Emb5,0.33373453491048727,Cntl,20210909_Emb5_sec4,8ss,TCF/Lef,m3Dyn1KA
30,1080580.2392499999,20210909_Emb6,0.5765234485414216,Cntl,20210909_Emb6_sec1,8ss,TCF/Lef,m3Dyn1KA
31,1517906.5399360002,20210909_Emb6,0.8098507460907003,Cntl,20210909_Emb6_sec2,8ss,TCF/Lef,m3Dyn1KA
32,1720360.685578,20210909_Emb6,0.9178663824843889,Cntl,20210909_Emb6_sec3,8ss,TCF/Lef,m3Dyn1KA
33,980913.9399473333,20210909_Emb6,0.5233483519681064,Cntl,20210909_Emb6_sec4,8ss,TCF/Lef,m3Dyn1KA
34,217557.04942799997,20210909_Emb6,0.1160735092451646,Cntl,20210909_Emb6_sec5,8ss,TCF/Lef,m3Dyn1KA
35,175623.19699666667,20210909_Emb7,0.09370048377588606,Cntl,20210909_Emb7_sec1,6ss,TCF/Lef,m3Dyn1KA
36,254027.07535366667,20210909_Emb7,0.1355314119083244,Cntl,20210909_Emb7_sec2,6ss,TCF/Lef,m3Dyn1KA
37,313577.121928,20210909_Emb7,0.16730322946040715,Cntl,20210909_Emb7_sec3,6ss,TCF/Lef,m3Dyn1KA
38,251600.46825,20210909_Emb7,0.13423674091134966,Cntl,20210909_Emb7_sec4,6ss,TCF/Lef,m3Dyn1KA
39,1021469.9161200001,20210909_Emb8,0.5449862372382072,Cntl,20210909_Emb8_sec1,9ss,TCF/Lef,m3Dyn1KA
40,1541749.3174666667,20210909_Emb8,0.8225716156989826,Cntl,20210909_Emb8_sec2,9ss,TCF/Lef,m3Dyn1KA
41,1032722.6864893333,20210909_Emb8,0.5509899431577929,Cntl,20210909_Emb8_sec3,9ss,TCF/Lef,m3Dyn1KA
42,1495427.651857,20210909_Emb8,0.7978575542813844,Cntl,20210909_Emb8_sec4,9ss,TCF/Lef,m3Dyn1KA
43,459977.057537,20210909_Emb8,0.24541218673888232,Cntl,20210909_Emb8_sec5,9ss,TCF/Lef,m3Dyn1KA
44,285648.70475933334,20210909_Emb8,0.15240254296482708,Cntl,20210909_Emb8_sec6,9ss,TCF/Lef,m3Dyn1KA
45,4800233.60377,20200807_Emb1,2.5610751802852723,Expt,20200807_Emb1_sec1,8ss,TCF/Lef,m3Dyn1KA
46,2745245.5368276667,20200807_Emb1,1.4646745947189805,Expt,20200807_Emb1_sec2,8ss,TCF/Lef,m3Dyn1KA
47,3056243.1583240004,20200807_Emb1,1.6306015797966378,Expt,20200807_Emb1_sec3,8ss,TCF/Lef,m3Dyn1KA
48,4885535.225916001,20200817_Emb1,2.6065862710673167,Expt,20200817_Emb1_sec1,8ss,TCF/Lef,m3Dyn1KA
49,4176907.4654899994,20200817_Emb1,2.2285111357524796,Expt,20200817_Emb1_sec2,8ss,TCF/Lef,m3Dyn1KA
50,3955832.2680133325,20200817_Emb1,2.1105605841815134,Expt,20200817_Emb1_sec3,8ss,TCF/Lef,m3Dyn1KA
51,1482871.199182,20200817_Emb1,0.7911582929635366,Expt,20200817_Emb1_sec4,8ss,TCF/Lef,m3Dyn1KA
52,2289946.357732,20200821_Emb1,1.2217582028437233,Expt,20200821_Emb1_sec1,8ss,TCF/Lef,m3Dyn1KA
53,3551629.2205383335,20200821_Emb1,1.8949055810852329,Expt,20200821_Emb1_sec2,8ss,TCF/Lef,m3Dyn1KA
54,3101271.408939999,20200821_Emb1,1.6546255637489455,Expt,20200821_Emb1_sec3,8ss,TCF/Lef,m3Dyn1KA
55,762092.5069613334,20210909_Emb1,0.4066002544391109,Expt,20210909_Emb1_sec1,7ss,TCF/Lef,m3Dyn1KA
56,522917.29033866664,20210909_Emb1,0.2789927749717397,Expt,20210909_Emb1_sec2,7ss,TCF/Lef,m3Dyn1KA
57,395918.64529300004,20210909_Emb1,0.2112350147033917,Expt,20210909_Emb1_sec3,7ss,TCF/Lef,m3Dyn1KA
58,249091.756487,20210909_Emb1,0.1328982645035217,Expt,20210909_Emb1_sec4,7ss,TCF/Lef,m3Dyn1KA
59,600347.3673019999,20210909_Emb2,0.3203041495187258,Expt,20210909_Emb2_sec1,6ss,TCF/Lef,m3Dyn1KA
60,489771.74327466666,20210909_Emb2,0.26130858604895096,Expt,20210909_Emb2_sec2,6ss,TCF/Lef,m3Dyn1KA
61,534029.7842773333,20210909_Emb2,0.2849216390159891,Expt,20210909_Emb2_sec3,6ss,TCF/Lef,m3Dyn1KA
62,376507.73810666666,20210909_Emb2,0.20087868692328198,Expt,20210909_Emb2_sec4,6ss,TCF/Lef,m3Dyn1KA
63,773132.290766,20210909_Emb3,0.41249032534641866,Expt,20210909_Emb3_sec5,8ss,TCF/Lef,m3Dyn1KA
64,669587.7337839999,20210909_Emb3,0.3572460566650021,Expt,20210909_Emb3_sec6,8ss,TCF/Lef,m3Dyn1KA
65,731701.7660826667,20210909_Emb3,0.39038584101687535,Expt,20210909_Emb3_sec7,8ss,TCF/Lef,m3Dyn1KA
66,208729.46339,20210909_Emb3,0.11136371522889035,Expt,20210909_Emb3_sec8,8ss,TCF/Lef,m3Dyn1KA
67,403127.69055833336,20210909_Emb4,0.2150812664541602,Expt,20210909_Emb4_sec1,8ss,TCF/Lef,m3Dyn1KA
68,527543.2712466667,20210909_Emb4,0.2814608808736374,Expt,20210909_Emb4_sec2,8ss,TCF/Lef,m3Dyn1KA
69,521698.5918,20210909_Emb4,0.27834256107857047,Expt,20210909_Emb4_sec3,8ss,TCF/Lef,m3Dyn1KA
70,287154.04073500005,20210909_Emb4,0.15320568692062178,Expt,20210909_Emb4_sec4,8ss,TCF/Lef,m3Dyn1KA
71,575494.789724,20210909_Emb5,0.30704451991421217,Expt,20210909_Emb5_sec1,8ss,TCF/Lef,m3Dyn1KA
72,721710.247744,20210909_Emb5,0.385055052613072,Expt,20210909_Emb5_sec2,8ss,TCF/Lef,m3Dyn1KA
73,641520.620631,20210909_Emb5,0.3422713715117729,Expt,20210909_Emb5_sec3,8ss,TCF/Lef,m3Dyn1KA
74,357765.42597833334,20210909_Emb5,0.19087907557617262,Expt,20210909_Emb5_sec4,8ss,TCF/Lef,m3Dyn1KA
75,670973.40055,20210909_Emb6,0.35798535334418075,Expt,20210909_Emb6_sec1,8ss,TCF/Lef,m3Dyn1KA
76,602511.79768,20210909_Emb6,0.32145894100974776,Expt,20210909_Emb6_sec2,8ss,TCF/Lef,m3Dyn1KA
77,625430.955131,20210909_Emb6,0.3336870303374644,Expt,20210909_Emb6_sec3,8ss,TCF/Lef,m3Dyn1KA
78,394517.92862666666,20210909_Emb6,0.21048768843036597,Expt,20210909_Emb6_sec4,8ss,TCF/Lef,m3Dyn1KA
79,213214.41911433332,20210909_Emb6,0.11375657977224243,Expt,20210909_Emb6_sec5,8ss,TCF/Lef,m3Dyn1KA
80,265503.94723000005,20210909_Emb7,0.141654683010528,Expt,20210909_Emb7_sec1,6ss,TCF/Lef,m3Dyn1KA
81,186637.364303,20210909_Emb7,0.0995768874779071,Expt,20210909_Emb7_sec2,6ss,TCF/Lef,m3Dyn1KA
82,190459.720072,20210909_Emb7,0.1016162341635596,Expt,20210909_Emb7_sec3,6ss,TCF/Lef,m3Dyn1KA
83,212245.035375,20210909_Emb7,0.11323938314393067,Expt,20210909_Emb7_sec4,6ss,TCF/Lef,m3Dyn1KA
84,1002467.4242,20210909_Emb8,0.534847811812065,Expt,20210909_Emb8_sec1,9ss,TCF/Lef,m3Dyn1KA
85,1496324.3065,20210909_Emb8,0.7983359476557549,Expt,20210909_Emb8_sec2,9ss,TCF/Lef,m3Dyn1KA
86,1039414.521967,20210909_Emb8,0.5545602472652732,Expt,20210909_Emb8_sec3,9ss,TCF/Lef,m3Dyn1KA
87,1494048.54317,20210909_Emb8,0.7971217565430372,Expt,20210909_Emb8_sec4,9ss,TCF/Lef,m3Dyn1KA
88,656936.367312,20210909_Emb8,0.3504961558596152,Expt,20210909_Emb8_sec5,9ss,TCF/Lef,m3Dyn1KA
89,510169.872218,20210909_Emb8,0.2721916275992623,Expt,20210909_Emb8_sec6,9ss,TCF/Lef,m3Dyn1KA
